Molecules,SMILES,Ads.E,SELFIES,GroupSELFIES
mol46,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(CCl)=C1),25.16,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][Cl][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0chloromethyl][pop]
mol47,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(OCF)=C1),16.31,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring2][O][C][F][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0fluoromethoxy][pop]
mol48,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(S)=C1),19.04,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][S][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0thiol][pop]
mol49,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(CF)=C1),19.82,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][F][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0fluoromethyl][pop]
mol50,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(C(C#N))=C1),20.88,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring2][C][C][#N][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0cyanomethyl][pop]
mol51,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(O(C#N))),19.81,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][O][C][#N],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0cyanate][pop]
mol52,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(C(N))),18.05,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][N],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0aminomethyl][pop]
mol53,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(N)=C1),24.01,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][N][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0amino][pop]
mol54,C(N)(C(O)=O)C(C1=C(N)C(O)=C(O)C=C1),22.72,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][C][N][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0amino][pop]
mol55,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C(N)1),18.52,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Branch1][C][N][Ring1][Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0amino][pop]
