Molecules,SMILES,Adsorption energy,1 C,2C,3C,4C,5C,6C,7C,8C,9C,N,Ring O1,O2,O3,O4,Polarizability,Dipole moment,TPSA,entropy,EA,volume,natom,IP,McGowan_Volume,Kier1,Kier2,Kier3
mol81,NC(CC1=CC(O)=C(O)C=C1C=O)C(O)=O,21.15,0.32536,-0.117537,0.103868,0.03078,-0.044931,0.337086,-0.026372,0.130272,0.573944,-0.083645,-0.221147,-0.246647,-0.481648,-0.154646,126.24,6.03,120.85,127.09,0.0542,190.98,16,0.2205,1.6441,15.05882353,6.25,3.484444444
mol82,CC(=O)C1=CC(O)=C(O)C=C1CC(N)C(O)=O,20.2,0.321161,-0.123711,0.112124,0.012704,-0.045779,0.33152,-0.038468,0.134814,0.574047,-0.088578,-0.223715,-0.254072,-0.478054,-0.158119,135.92,6.3,120.85,133.85,0.0372,207.54,17,0.2135,1.7301,15.05882353,6.25,3.484444444
mol83,NC(CC1=CC(O)=C(O)C=C1C(F)(F)F)C(O)=O,17.21,0.323727,-0.114003,0.116681,-0.072898,-0.058891,0.331686,-0.019898,0.134598,0.571831,-0.085369,-0.22093,-0.253178,-0.486438,-0.157659,121.65,4.6,103.78,134.13,0.0149,203.3,18,0.2192,1.6529,14.0625,5.557655955,3.25
mol84,CC(C)(C)C1=CC(O)=C(O)C=C1CC(N)C(O)=O,15.58,0.309335,-0.12546,0.088976,0.114872,-0.119997,0.330695,-0.052543,0.144169,0.571325,-0.094338,-0.230965,-0.267209,-0.482793,-0.160227,154.23,2.95,103.78,139.8,0.005,238.19,18,0.1983,1.6118,14.0625,5.557655955,3.25
mol85,NC(CC1=CC(O)=C(O)C=C1O)C(O)=O,22.72,0.306328,-0.136659,0.116418,0.300188,-0.116895,0.325115,-0.00988,0.127366,0.569117,-0.092975,-0.22754,-0.271483,-0.486999,-0.156722,113.19,1.48,124.01,126.01,0.0048,180.02,15,0.1942,1.785,16.05555556,6.9632,3.995837669
mol86,NC(CC1=CC(O)=C(O)C=C1CO)C(O)=O,19.01,0.310926,-0.119836,0.105524,0.11975,-0.099942,0.330399,-0.039489,0.150204,0.572062,-0.100765,-0.230134,-0.263175,-0.488368,-0.161855,125.59,1.95,124.01,129.52,0.0024,196.82,16,0.2018,1.5892,14.0625,5.557655955,3.25
mol87,NC(CC1=CC(O)=C(O)C=C1CCl)C(O)=O,17.23,0.315406,-0.113473,0.111968,0.132844,-0.076523,0.332048,-0.040823,0.1453,0.574288,-0.088807,-0.223973,-0.256358,-0.486517,-0.156445,133.02,3.54,103.78,130.92,0.0208,202.34,16,0.2123,1.6441,15.05882353,6.805293006,4.301783265
mol88,NC(CC1=CC(O)=C(O)C=C1OCF)C(O)=O,19.51,0.314221,-0.127063,0.10318,0.287184,-0.070027,0.323592,-0.013543,0.135347,0.571861,-0.092876,-0.224478,-0.267307,-0.484984,-0.159692,125.99,2.59,113.01,135.15,0.0012,202.72,17,0.201,1.6303,14.0625,6.074380165,3.769230769
mol89,NC(CC1=CC(O)=C(O)C=C1S)C(O)=O,17.44,0.30684,-0.101053,0.146821,-0.163766,-0.029958,0.336439,-0.022761,0.120586,0.575215,-0.084839,-0.222207,-0.259013,-0.481221,-0.158379,127.74,4.42,103.78,126.92,0.0072,189.66,15,0.2069,1.6714,14.0625,6.074380165,3.769230769
mol90,NC(CC1=CC(O)=C(O)C=C1CF)C(O)=O,18.66,0.313541,-0.115128,0.10378,0.07625,-0.096619,0.332581,-0.033665,0.139068,0.571505,-0.092591,-0.226605,-0.259005,-0.48843,-0.158809,121.72,2.55,103.78,128.59,0.0035,193.73,16,0.2093,1.7351,14.0625,6.074380165,3.769230769
mol91,NC(CC1=CC(O)=C(O)C=C1CC#N)C(O)=O,25.32,0.314674,-0.111063,0.110846,0.109022,-0.086736,0.333716,-0.040165,0.139455,0.574567,-0.085487,-0.222285,-0.257674,-0.48698,-0.153238,132.93,3.99,127.57,133.03,0.0091,205.66,17,0.2146,1.7125,14.0625,6.074380165,3.769230769
mol92,NC(CC1=CC(O)=C(O)C=C1Br)C(O)=O,24.1,0.316671,-0.107931,0.125668,0.014719,-0.0332,0.331309,-0.009734,0.135525,0.572349,-0.088418,-0.21958,-0.258833,-0.484426,-0.15877,127.36,3.76,103.78,126.21,0.0047,189.88,15,0.2116,1.5873,14.0625,6.074380165,3.769230769
mol93,NC(CC1=C(F)C(O)=C(O)C=C1)C(O)=O,17.02,0.232557,0.276417,0.102574,-0.070173,-0.023374,0.328282,-0.018279,0.110671,0.560761,-0.080842,-0.220926,-0.253828,-0.472785,-0.153512,109.49,1.4,103.78,120.83,0.001,176.93,15,0.215,1.7282,15.05882353,6.25,4
mol94,NC(CC1=C(C#N)C(O)=C(O)C=C1)C(O)=O,18.03,0.232557,0.276417,0.102574,-0.070173,-0.023374,0.328282,-0.018279,0.110671,0.560761,-0.080842,-0.220926,-0.253828,-0.472785,-0.153512,124.8,2.8,127.57,126.41,0.0453,188.86,16,0.2247,1.6247,16.05555556,5.969821674,4.266666667
mol95,NC(CC1=C(C(O)=C(O)C=C1)[N+]([O-])=O)C(O)=O,23.26,0.278227,0.203016,0.146014,-0.074758,0.003424,0.328842,0.012385,0.118906,0.573727,-0.084151,-0.211797,-0.225023,-0.468987,-0.163093,126.8,2.99,149.6,127.266,0.0937,195.33,17,0.2247,1.9943,16.05555556,5.969821674,4.266666667
